,game_id,home_team,away_team,season_type,season,week,game_date,home_score,away_score,result,div_game,location,roof,surface,home_sp,home_yards_gained,home_yards_after_catch,home_epa,home_air_epa,home_yac_epa,home_comp_air_epa,home_comp_yac_epa,home_wpa,home_vegas_wpa,home_air_wpa,home_yac_wpa,home_comp_air_wpa,home_comp_yac_wpa,home_third_down_converted,home_fourth_down_converted,home_interception,home_fumble_lost,home_qb_hit,home_rush_attempt,home_pass_attempt,home_sack,home_touchdown,home_success,home_penalty,home_penalty_yards,away_sp,away_yards_gained,away_yards_after_catch,away_epa,away_air_epa,away_yac_epa,away_comp_air_epa,away_comp_yac_epa,away_wpa,away_vegas_wpa,away_air_wpa,away_yac_wpa,away_comp_air_wpa,away_comp_yac_wpa,away_third_down_converted,away_fourth_down_converted,away_interception,away_fumble_lost,away_qb_hit,away_rush_attempt,away_pass_attempt,away_sack,away_touchdown,away_success,away_penalty,away_penalty_yards,POST,REG,Home,Neutral,closed,dome,open,outdoors,,a_turf,astroplay,astroturf,fieldturf,grass,matrixturf,sportturf
9817,2016_04_DET_CHI,CHI,DET,REG,2016,4,2016-10-02,17,14,3,1,Home,outdoors,grass,0.0,52.0,29.0,0.5236137,-0.56312966,1.5391729,-1.2337588,2.5376067,0.06227702,0.06550041,0.0019479394,0.027698219,0.0019479394,0.040157616,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,4.0,1.0,1.0,0.0,7.0,0.0,-2.5192685,0.7632278,-0.750326,0.6388004,0.0,-0.054515332,-0.039615273,0.039583504,-0.013693437,0.039583504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
46213,2014_17_SD_KC,KC,LAC,REG,2014,17,2014-12-28,19,7,12,1,Home,outdoors,grass,0.0,94.0,10.0,2.7081378,1.6182929,1.8438891,1.6182929,1.8438891,0.042639256,0.03099327,0.009034276,0.00468421,0.009034276,0.00468421,2.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,7.0,1.0,1.0,0.0,11.0,0.0,0.66031134,0.0,0.0,0.0,0.0,0.061792262,0.0738425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
16466,2013_06_PIT_NYJ,NYJ,PIT,REG,2013,6,2013-10-13,6,19,-13,0,Home,outdoors,fieldturf,0.0,19.0,5.0,-1.8188126,1.2592322,-2.076885,0.6667014,0.5172233,-0.09953931,-0.037674926,0.010155067,-0.063523516,0.010155067,-0.033281386,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,40.0,7.0,-0.88211095,-0.52991176,-0.77887195,-1.4114578,0.77834314,0.0025636554,0.025775075,-0.010178268,-0.018070042,-0.010178268,-0.0029031038,1.0,0.0,0.0,0.0,1.0,6.0,5.0,1.0,0.0,3.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
3640,2017_02_DET_NYG,NYG,DET,REG,2017,2,2017-09-18,10,24,-14,0,Home,outdoors,fieldturf,2.0,25.0,25.0,1.2460234,1.2605709,-0.5605101,-0.9439107,2.0275161,-0.013266675,-0.03706988,0.0,0.0030515157,0.0,0.019651707,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,33.0,12.0,-4.4366336,0.44962245,-2.806914,-2.6050308,1.331491,-0.025756154,-0.015425041,-0.026874155,0.007016778,-0.026874155,0.038386375,0.0,0.0,0.0,0.0,2.0,7.0,4.0,0.0,0.0,4.0,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
17169,2017_07_CIN_PIT,PIT,CIN,REG,2017,7,2017-10-22,29,14,15,1,Home,outdoors,grass,1.0,19.0,-1.0,-1.3096808,1.8896278,-2.9513159,-0.17679127,-0.20443158,-0.013288364,-0.04367181,0.0,-0.017354906,0.0,-0.009549677,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,32.0,0.0,-0.5515136,6.2624245,-3.8512807,3.2476492,0.0,0.020784725,-0.0045401305,0.087748975,-0.006031126,0.087748975,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,2.0,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
41406,2017_16_JAX_SF,SF,JAX,REG,2017,16,2017-12-24,44,33,11,0,Home,outdoors,grass,2.0,56.0,19.0,6.083211,0.23005295,0.5471263,-1.4055774,2.8893087,0.032703217,0.09834917,0.0,0.011619031,0.0,0.045009732,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,1.0,1.0,3.0,39.0,15.0,3.0498304,6.945346,-5.163263,3.1272223,1.3080503,0.118932486,0.19219047,0.029108495,0.05518969,0.029777654,0.06942857,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,7.0,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
30245,2019_12_GB_SF,SF,GB,REG,2019,12,2019-11-24,37,8,29,0,Home,outdoors,grass,1.0,113.0,57.0,8.6730175,3.0203817,6.2272205,3.0203817,6.2272205,0.07651509,0.064224906,0.0,0.08230217,0.0,0.08230217,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,43.0,23.0,-14.219295,-0.85345906,1.0640839,-2.4373732,3.4452133,-0.20744362,-0.22386485,0.0,0.0063001765,0.0,0.017398935,1.0,0.0,0.0,1.0,2.0,9.0,8.0,2.0,0.0,6.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
9258,2021_04_CLE_MIN,MIN,CLE,REG,2021,4,2021-10-03,7,14,-7,0,Home,dome,sportturf,0.0,23.0,7.0,-0.31384778,-0.7676517,0.6572653,0.96976596,0.44763505,-0.008754417,-0.03349813,0.0,-0.006226748,0.0,0.04448843,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,52.0,0.0,1.5373919,3.3695912,-3.695057,0.0,0.0,0.19704029,0.20121926,0.0,-0.042422175,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,6.0,0.0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4398,2011_02_JAX_NYJ,NYJ,JAX,REG,2011,2,2011-09-18,32,3,29,0,Home,outdoors,fieldturf,0.0,47.0,3.0,-0.6163504,0.023718908,-0.45057794,-0.18020605,0.20081595,0.11050016,0.067840934,-0.0064169765,0.00121665,-0.0064169765,0.009219766,1.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,-2.6506255,0.6374872,-1.9669548,0.0,0.0,0.004356902,-0.021637298,0.0,-0.01992286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
13652,2016_05_TB_CAR,CAR,TB,REG,2016,5,2016-10-10,14,17,-3,1,Home,outdoors,grass,0.0,13.0,0.0,-0.7075438,2.3981433,-3.112279,1.1146482,0.0,-0.01570043,-0.06695372,0.046491474,-0.0874818,0.046491474,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,34.0,8.0,0.72406167,0.35383093,1.3247532,0.35383093,1.3247532,-0.025562018,0.11539781,0.034473896,-0.005970776,0.034473896,-0.005970776,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
